2025-08-05 09:49:43,456 | INFO | Will watch for changes in these directories: ['C:\\Users\\james\\AISD\\ACADES\\AIFarmer-pureAI\\innerAI']
2025-08-05 09:49:43,458 | INFO | Uvicorn running on http://127.0.0.1:8000 (Press CTRL+C to quit)
2025-08-05 09:49:43,459 | INFO | Started reloader process [14264] using WatchFiles
2025-08-05 09:49:43,843 | INFO | 1 change detected
2025-08-05 09:49:44,252 | INFO | 1 change detected
2025-08-05 09:49:44,657 | INFO | 1 change detected
2025-08-05 09:49:45,074 | INFO | 1 change detected
2025-08-05 09:49:45,480 | INFO | 1 change detected
2025-08-05 09:49:45,843 | INFO | 1 change detected
2025-08-05 09:49:46,253 | INFO | 1 change detected
2025-08-05 09:49:46,656 | INFO | 1 change detected
2025-08-05 09:49:47,062 | INFO | 1 change detected
2025-08-05 09:49:47,469 | INFO | 1 change detected
2025-08-05 09:49:47,885 | INFO | 1 change detected
2025-08-05 09:49:48,294 | INFO | 1 change detected
2025-08-05 09:49:48,341 | INFO | Started server process [29288]
2025-08-05 09:49:48,345 | INFO | Waiting for application startup.
2025-08-05 09:49:48,348 | INFO | Application startup complete.
2025-08-05 09:49:48,697 | INFO | 1 change detected
2025-08-05 09:49:49,100 | INFO | 1 change detected
2025-08-05 09:49:49,501 | INFO | 1 change detected
2025-08-05 09:49:49,907 | INFO | 1 change detected
2025-08-05 09:49:50,310 | INFO | 1 change detected
2025-08-05 09:49:50,677 | INFO | 1 change detected
2025-08-05 09:49:51,133 | INFO | 1 change detected
2025-08-05 09:49:51,488 | INFO | 1 change detected
2025-08-05 09:49:51,894 | INFO | 1 change detected
2025-08-05 09:49:52,299 | INFO | 1 change detected
2025-08-05 09:49:52,704 | INFO | 1 change detected
2025-08-05 09:49:53,120 | INFO | 1 change detected
2025-08-05 09:49:53,523 | INFO | 1 change detected
2025-08-05 09:49:53,925 | INFO | 1 change detected
2025-08-05 09:49:54,338 | INFO | 1 change detected
2025-08-05 09:49:54,700 | INFO | 1 change detected
2025-08-05 09:49:55,111 | INFO | 1 change detected
2025-08-05 09:49:55,513 | INFO | 1 change detected
2025-08-05 09:49:55,914 | INFO | 1 change detected
2025-08-05 09:49:56,330 | INFO | 1 change detected
2025-08-05 09:49:56,695 | INFO | 1 change detected
2025-08-05 09:49:57,101 | INFO | 1 change detected
2025-08-05 09:49:57,517 | INFO | 1 change detected
2025-08-05 09:49:57,928 | INFO | 1 change detected
2025-08-05 09:49:58,294 | INFO | 1 change detected
2025-08-05 09:49:58,702 | INFO | 1 change detected
2025-08-05 09:49:59,115 | INFO | 1 change detected
2025-08-05 09:49:59,532 | INFO | 1 change detected
2025-08-05 09:49:59,934 | INFO | 1 change detected
2025-08-05 09:50:00,338 | INFO | 1 change detected
2025-08-05 09:50:00,703 | INFO | 1 change detected
